# Region type : patch inlet
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0.00258738    	2.817365e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00273272    	3.362641e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00288103    	4.665254e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00302934    	4.553528e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00318088    	4.614228e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00333242    	4.905779e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00348748    	4.919272e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00364254    	4.849032e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00380147    	4.558981e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00396041    	4.062848e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00411935    	3.488717e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0042827     	2.743047e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00444605    	1.827739e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0046094     	8.416711e-02	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00477786    	-3.623472e-02	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00494631    	-1.624897e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00511477    	-2.958700e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00528924    	-4.387146e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00546371    	-5.904233e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00563819    	-7.515799e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00581266    	-9.012450e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00598713    	-1.071624e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00616954    	-1.249625e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00635194    	-1.423079e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00653434    	-1.602793e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00671674    	-1.774895e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00689915    	-1.958126e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00708155    	-2.105582e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00726395    	-2.306084e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00745939    	-2.491084e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00765482    	-2.660889e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00785025    	-2.823916e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00804568    	-2.976968e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00824111    	-3.123964e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00843655    	-3.240006e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00863198    	-3.408393e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00882741    	-3.510919e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00902284    	-3.669019e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00921827    	-3.759264e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0094137     	-3.912084e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00960914    	-3.988491e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00980457    	-4.135926e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.01          	-4.194886e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0102174     	-7.663647e+03	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0102767     	5.034069e+01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0103428     	-2.133156e+01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0104149     	-1.547249e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0104922     	-1.628601e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0105778     	1.407187e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.010673      	1.445215e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.010779      	7.421471e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0108957     	6.312976e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0110258     	8.751256e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0111705     	6.601687e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0113311     	7.325146e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.011508      	3.163693e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0116887     	2.014018e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0118776     	-2.567063e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.012071      	-2.582537e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0122692     	-8.323048e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0124674     	-6.613721e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0126656     	-1.370453e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0128694     	-9.487412e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0130731     	-1.780410e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0132768     	-1.222407e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0134806     	-2.036923e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0136781     	-1.449424e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0138757     	-2.137530e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0140732     	-1.588004e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0142708     	-2.184625e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0144684     	-1.644659e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0146659     	-2.220326e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0148635     	-1.659425e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.015061      	-2.222182e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0152586     	-1.661262e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0154562     	-2.076503e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0156537     	-1.806439e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0158513     	-1.987979e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0160488     	-1.819528e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0162464     	-1.911651e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0164439     	-1.788936e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0166415     	-1.821021e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0168391     	-1.730264e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0170366     	-1.719796e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0172342     	-1.644382e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0174317     	-1.604888e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0176293     	-1.532638e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0178269     	-1.476482e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0180244     	-1.410048e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.018222      	-1.330239e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0184195     	-1.267383e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0186171     	-1.163664e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0188146     	-1.111618e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0190122     	-9.940498e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0192098     	-9.538622e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0194073     	-8.280939e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0196049     	-7.878990e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0198024     	-6.587854e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.02          	-6.244495e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0202174     	-4.797230e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0204503     	-4.365163e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0206891     	-2.705454e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0209278     	-2.415256e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.021173      	-8.164129e-02	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0214252     	-3.975211e-02	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0216774     	1.145922e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0219375     	1.372862e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0221976     	3.181837e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0224666     	2.867249e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0227357     	5.158681e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0230151     	4.081048e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0233061     	7.060930e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0235971     	5.181431e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.023902      	8.921119e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0242069     	5.690988e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0245288     	1.053540e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0248506     	5.982969e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0251724     	1.152673e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0255173     	6.228495e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0258621     	1.083783e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0262069     	7.697942e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0265517     	1.203825e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0269349     	6.245856e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.027318      	1.154059e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0277012     	7.911170e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0280843     	1.096659e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0284674     	7.841282e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0288506     	9.924418e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0292337     	6.307506e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0296169     	1.027439e+00	(1.000000e+00 0.000000e+00 0.000000e+00)
0.03          	5.237508e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0304        	9.219075e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0308        	4.801121e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0312        	8.970614e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0316        	4.235190e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.032         	8.022551e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0324        	3.842141e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0328222     	7.081603e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0332444     	3.400929e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0336667     	6.099948e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0340889     	2.984589e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0345111     	5.369730e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0349333     	2.629684e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0353556     	4.675514e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.03582       	2.194852e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0362844     	4.444961e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0367489     	1.722650e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0372133     	4.126793e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0376778     	1.102185e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0381422     	4.082493e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0386067     	1.728099e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0390711     	2.794629e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0395356     	1.943289e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.04          	2.136931e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0405        	2.292141e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.041         	1.460343e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0415        	2.788563e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.042         	1.553039e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0425        	2.819837e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.043         	1.600290e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0435        	2.892149e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.044         	1.640230e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0445        	3.028114e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.045         	1.716612e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0455        	3.151384e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.046         	1.867467e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0465        	3.717290e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.047         	1.841256e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0475        	3.400120e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.048         	2.193194e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0485        	3.453206e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.049         	2.418505e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0495        	3.944458e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.05          	2.337065e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0505263     	3.697623e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0510526     	2.638511e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0515789     	4.193279e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0521053     	2.509839e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0526316     	3.792518e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0531579     	2.869607e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0536842     	4.115377e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0542105     	2.746109e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0547368     	3.767469e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0552632     	3.061350e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0557895     	4.042360e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0563158     	2.875735e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0568421     	4.139824e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0573684     	2.406329e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0578947     	3.779852e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0584211     	3.100638e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0589474     	3.963042e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0594737     	2.580848e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.06          	4.045038e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0605882     	2.930603e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0612157     	4.248734e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0618431     	2.797567e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0624706     	3.743933e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.063098      	3.102981e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0637255     	3.934253e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0643529     	2.847180e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0649804     	4.023302e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0656078     	2.736920e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0662353     	3.532599e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0668627     	3.013637e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0674902     	3.646609e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0681176     	2.794275e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0687451     	3.737050e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0693725     	2.665743e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.07          	3.675593e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0706667     	2.632572e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0713846     	3.809081e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0721026     	2.503721e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0728205     	3.362308e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0735385     	2.689388e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0742564     	3.556978e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0749744     	2.468990e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0756923     	3.190067e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0764103     	2.607519e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0771282     	3.338711e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0778462     	2.402336e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0785641     	3.323855e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0792821     	2.320600e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.08          	2.977539e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0807692     	2.465618e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0816084     	3.263866e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0824476     	2.213631e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0832867     	2.998270e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0841259     	2.265002e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.084965      	3.177536e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0858042     	2.069262e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0866434     	2.849170e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0874825     	2.150849e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0883217     	2.719106e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0891608     	2.148676e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.09          	2.856314e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0909091     	1.983259e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0919192     	2.757330e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0929293     	1.968394e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0939394     	2.710467e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0949495     	1.889102e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0959596     	2.631580e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0969697     	1.833051e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0979798     	2.555122e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.0989899     	1.770884e-01	(1.000000e+00 0.000000e+00 0.000000e+00)
0.1           	1.889409e+03	(1.000000e+01 0.000000e+00 0.000000e+00)
0.100039      	1.518566e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.100083      	7.288838e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.100132      	3.375374e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.100189      	1.643611e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.100254      	1.331033e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.100327      	8.800310e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.100409      	7.188002e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.1005        	5.189657e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.100594      	4.131823e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.100692      	2.869536e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.100792      	2.119117e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.100897      	1.269114e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.101005      	6.899307e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.101117      	5.256502e-02	(1.000000e+01 0.000000e+00 0.000000e+00)
0.101236      	-3.523505e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.101358      	-8.017332e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.101485      	-1.001448e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.101616      	-1.367369e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.101751      	-1.440493e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.101891      	-1.662289e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.102033      	-1.640119e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.102178      	-1.797432e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.102325      	-1.660579e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.102476      	-1.928243e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.102626      	-1.542764e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.10278       	-1.986785e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.102934      	-1.339156e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.103091      	-2.002834e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.103248      	-1.166363e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.103405      	-1.949763e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.103562      	-1.365042e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.103723      	-1.641066e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.103884      	-1.312577e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.104045      	-1.500262e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.104206      	-1.262760e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.104371      	-1.380737e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.104537      	-1.205974e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.104702      	-1.292556e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.104868      	-1.169251e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.105039      	-1.239500e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.10521       	-1.141710e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.105381      	-1.220420e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.105552      	-1.148013e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.105723      	-1.221785e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.105901      	-1.172479e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.10608       	-1.252597e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.106258      	-1.220917e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.106436      	-1.312205e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.106614      	-1.296524e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.106792      	-1.392737e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.106971      	-1.392175e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.107149      	-1.462114e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.107339      	-1.544561e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.107529      	-1.587072e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.107719      	-1.688538e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.107909      	-1.738834e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.108099      	-1.851180e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.108289      	-1.899844e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.108479      	-2.023113e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.108669      	-2.040180e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.10886       	-2.207100e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.10905       	-2.199557e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.10924       	-2.393673e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.10943       	-2.353148e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.10962       	-2.583864e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.10981       	-2.495761e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.11          	-2.791551e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.110208      	-8.132478e+03	(1.000000e+00 0.000000e+00 0.000000e+00)
0.110268      	1.091459e+02	(1.000000e+00 0.000000e+00 0.000000e+00)
0.110334      	-2.697361e+01	(1.000000e+00 0.000000e+00 0.000000e+00)
